data_source_id,subjects
re3data_____::7980778c78fb4cf0fab13ce2159030dc,Natural Sciences
re3data_____::7980778c78fb4cf0fab13ce2159030dc,Engineering Sciences
opendoar____::4b86abe48d358ecf194c56c69108433e,Multidisciplinary
opendoar____::ac1ad983e08ad3304a97e147f522747e,Biology and Biochemistry
opendoar____::ac1ad983e08ad3304a97e147f522747e,Chemistry and Chemical Technology
opendoar____::ac1ad983e08ad3304a97e147f522747e,Ecology and Environment
opendoar____::ac1ad983e08ad3304a97e147f522747e,Mathematics and Statistics
opendoar____::ac1ad983e08ad3304a97e147f522747e,Physics and Astronomy
opendoar____::ac1ad983e08ad3304a97e147f522747e,Computers and IT
opendoar____::ac1ad983e08ad3304a97e147f522747e,Electrical and Electronic Engineering
opendoar____::ac1ad983e08ad3304a97e147f522747e,Mechanical Engineering and Materials
opendoar____::ac1ad983e08ad3304a97e147f522747e,Business and Economics
opendoar____::0d8080853a54f8985276b0130266a657,Multidisciplinary
opendoar____::76cf99d3614e23eabab16fb27e944bf9,Multidisciplinary
openaire____::df45502607927471ecf8a6ae83683ff5,{NULL}
opendoar____::229754d7799160502a143a72f6789927,Multidisciplinary
opendoar____::56db57b4db0a6fcb7f9e0c0b504f6472,Multidisciplinary
opendoar____::1ea97de85eb634d580161c603422437f,Multidisciplinary
opendoar____::e1228be46de6a0234ac22ded31417bc7,Multidisciplinary
opendoar____::f0dd4a99fba6075a9494772b58f95280,Multidisciplinary
opendoar____::0ae1dd3954ee840075de1395771b6c9c,Multidisciplinary
opendoar____::a4f23670e1833f3fdb077ca70bbd5d66,Multidisciplinary
opendoar____::52c409f1571f500e28f490a302a12540,Multidisciplinary
opendoar____::8dd48d6a2e2cad213179a3992c0be53c,Multidisciplinary
opendoar____::4c22bd444899d3b6047a10b20a2f26db,Multidisciplinary
opendoar____::2cbca44843a864533ec05b321ae1f9d1,Multidisciplinary
opendoar____::df7f28ac89ca37bf1abd2f6c184fe1cf,Science General
opendoar____::df7f28ac89ca37bf1abd2f6c184fe1cf,Technology General
opendoar____::1bd4b29a8e0afccd9923fe29cecb4b29,Multidisciplinary
opendoar____::1c9ac0159c94d8d0cbedc973445af2da,Earth and Planetary Sciences
opendoar____::1c9ac0159c94d8d0cbedc973445af2da,Technology General
opendoar____::1c9ac0159c94d8d0cbedc973445af2da,Geography and Regional Studies
opendoar____::00ac8ed3b4327bdd4ebbebcb2ba10a00,Science General
opendoar____::00ac8ed3b4327bdd4ebbebcb2ba10a00,Technology General
opendoar____::a0833c8a1817526ac555f8d67727caf6,Multidisciplinary
opendoar____::fc490ca45c00b1249bbe3554a4fdf6fb,Physics and Astronomy
opendoar____::fc490ca45c00b1249bbe3554a4fdf6fb,Computers and IT
opendoar____::fc490ca45c00b1249bbe3554a4fdf6fb,Electrical and Electronic Engineering
opendoar____::30f8f6b940d1073d8b6a5eebc46dd6e5,{Multidisciplinary}
opendoar____::7d571e5c15bad5ef8c4352ce7a1d9e78,Multidisciplinary
opendoar____::084a8a9aa8cced9175bd07bc44998e75,Health and Medicine
opendoar____::084a8a9aa8cced9175bd07bc44998e75,Psychology
openaire____::8fc45174756b8d6bb1cfbd82c5e63a4e,{NULL}
opendoar____::2ac2406e835bd49c70469acae337d292,{Multidisciplinary}
opendoar____::a03fa30821986dff10fc66647c84c9c3,Multidisciplinary
opendoar____::addfa9b7e234254d26e9c7f2af1005cb,Science General
opendoar____::addfa9b7e234254d26e9c7f2af1005cb,Health and Medicine
opendoar____::addfa9b7e234254d26e9c7f2af1005cb,Philosophy and Religion
opendoar____::addfa9b7e234254d26e9c7f2af1005cb,Business and Economics
opendoar____::addfa9b7e234254d26e9c7f2af1005cb,Law and Politics
