opendoar_uri,oai_url
https://v2.sherpa.ac.uk/id/repository/274,http://www.saber.ula.ve/oai/request
https://v2.sherpa.ac.uk/id/repository/276,http://ro.uow.edu.au/do/oai/
https://v2.sherpa.ac.uk/id/repository/279,http://digirep.rhul.ac.uk/p/oai
https://v2.sherpa.ac.uk/id/repository/282,http://sammelpunkt.philo.at:8080/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/284,http://repository.upenn.edu/do/oai/
https://v2.sherpa.ac.uk/id/repository/285,https://eprints.soas.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/286,http://publikationen.sulb.uni-saarland.de/oai/request
https://v2.sherpa.ac.uk/id/repository/288,https://iris.sissa.it/oai/request
https://v2.sherpa.ac.uk/id/repository/289,http://ecrystals.chem.soton.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/290,http://eprints.st-andrews.ac.uk/perl/oai2
https://v2.sherpa.ac.uk/id/repository/291,https://strathprints.strath.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/292,http://stud.epsilon.slu.se/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/293,http://ses.library.usyd.edu.au/oai/request
https://v2.sherpa.ac.uk/id/repository/294,http://tspace.library.utoronto.ca/tspace-oai/request
https://v2.sherpa.ac.uk/id/repository/296,http://tdx.cat/oai/request
https://v2.sherpa.ac.uk/id/repository/297,http://www.tlrp.org/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/298,http://oaktrust.library.tamu.edu/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/300,http://oro.open.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/301,http://bibmed.ucla.edu.ve/cgi-win/be_oai.exe
https://v2.sherpa.ac.uk/id/repository/304,http://sigpubs.biostr.washington.edu/perl/oai2
https://v2.sherpa.ac.uk/id/repository/305,http://epubs.surrey.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/306,http://dspace.unitus.it/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/307,https://repositorium.sdum.uminho.pt/oai/request
https://v2.sherpa.ac.uk/id/repository/308,https://acervodigital.ufpr.br/oai/request
https://v2.sherpa.ac.uk/id/repository/309,http://eprints.upc.es:8080/pfc-oai/request
https://v2.sherpa.ac.uk/id/repository/312,http://www.ubka.uni-karlsruhe.de/oai/eva/oai2.php
https://v2.sherpa.ac.uk/id/repository/313,http://edoc.ub.uni-muenchen.de/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/314,http://epub.ub.uni-muenchen.de/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/317,http://papyrus.bib.umontreal.ca/oai/request
https://v2.sherpa.ac.uk/id/repository/320,http://www.archipel.uqam.ca/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/322,http://discovery.ucl.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/325,https://escholarship.org/oai
https://v2.sherpa.ac.uk/id/repository/326,http://pubs.cs.uct.ac.za/perl/oai2
https://v2.sherpa.ac.uk/id/repository/327,http://dspace.udel.edu:8080/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/328,http://dro.dur.ac.uk/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/330,https://biblio.ugent.be/oai
https://v2.sherpa.ac.uk/id/repository/332,http://kuscholarworks.ku.edu/dspace-oai/request
https://v2.sherpa.ac.uk/id/repository/333,http://eprints.fri.uni-lj.si/cgi/oai2
https://v2.sherpa.ac.uk/id/repository/334,https://minerva-access.unimelb.edu.au/oai/request
