reference_evaluation_panel,label,officialname,data_source_id,oaire_result_type,openairecompatibility,works,works_prop,projects_with_repo_works,projects,projects_prop
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",UM Publications,opendoar____::fe9fc289c3ff0af142b6d3bead98a923,publication,collected from a compatible aggregator,3,0.0033407572383073497,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Universiteit van Amsterdam Digital Academic Repository,opendoar____::bc6dc48b743dc5d013b1abaebd2faed2,publication,collected from a compatible aggregator,4,0.004454342984409799,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",University of East Anglia digital repository,opendoar____::6a5889bb0190d0211a991f47bb19a777,publication,OpenAIRE Basic (DRIVER OA),3,0.0033407572383073497,3,213,0.014084507042253521
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",University of Liverpool Repository,opendoar____::459a4ddcb586f24efd9395aa7662bc7c,publication,collected from a compatible aggregator,3,0.0033407572383073497,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",University of Regensburg Publication Server,opendoar____::addfa9b7e234254d26e9c7f2af1005cb,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",University of Southern Denmark Research Output,opendoar____::1aa057313c28fa4a40c5bc084b11d276,publication,OpenAIRE Basic (DRIVER OA),5,0.005567928730512249,2,213,0.009389671361502348
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Univerzitní repozitář Masarykovy univerzity,opendoar____::4ad13f04ef4373992c9d3046200aa350,publication,"OpenAIRE 3.0 (OA, funding)",4,0.004454342984409799,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",UPF Digital Repository,opendoar____::a14ac55a4f27472c5d894ec1c3c743d2,publication,"OpenAIRE 3.0 (OA, funding)",13,0.014476614699331848,6,213,0.028169014084507043
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Utrecht University Repository,opendoar____::38b3eff8baf56627478ec76a704e9b52,publication,collected from a compatible aggregator,9,0.01002227171492205,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",VBN,opendoar____::8e2cfdc275761edc592f73a076197c33,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Vilnius University Institutional Repository,opendoar____::5b5e6cc50cefa5e9f1f5ca272b136475,publication,"OpenAIRE 3.0 (OA, funding)",1,0.0011135857461024498,1,213,0.004694835680751174
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Wageningen Staff Publications,opendoar____::d709f38ef758b5066ef31b18039b8ce5,publication,collected from a compatible aggregator,9,0.01002227171492205,4,213,0.018779342723004695
LS01,"LS01: Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",Warwick Research Archives Portal Repository,opendoar____::0e9fa1f3e9e66792401a6972d477dcc3,publication,collected from a compatible aggregator,7,0.0077951002227171495,5,213,0.023474178403755867
