reference_evaluation_panel,officialname,oaire_result_type,openairecompatibility,data_source_id,works,projects_with_repo_works,reference_evaluation_panel_title,projects,prop
LS01_REF,St George's Online Research Archive,publication,collected from a compatible aggregator,opendoar____::1d94108e907bb8311d8802b48fd54b4a,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Surrey Research Insight,publication,OpenAIRE Basic (DRIVER OA),opendoar____::496e05e1aea0a9c4655800e8a7b9ea28,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Sussex Research Online,publication,collected from a compatible aggregator,opendoar____::ea159dc9788ffac311592613b7f71fbb,9,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,The University of Manchester - Institutional Repository,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::b994697479c5716eda77e8e9713e5f0f,7,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Theses@asb,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::5dec707028b05bcbd3a1db5640f842c5,2,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,TNO Repository - hosted by TU Delft Library,publication,collected from a compatible aggregator,openaire____::1f35f7c7fa4f731c8c3a2aa5b367e4f0,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,TU Delft Repository,publication,collected from a compatible aggregator,opendoar____::c9892a989183de32e976c6f04e700201,5,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,UM Publications,publication,collected from a compatible aggregator,opendoar____::fe9fc289c3ff0af142b6d3bead98a923,3,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Universiteit van Amsterdam Digital Academic Repository,publication,collected from a compatible aggregator,opendoar____::bc6dc48b743dc5d013b1abaebd2faed2,4,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,University of East Anglia digital repository,publication,OpenAIRE Basic (DRIVER OA),opendoar____::6a5889bb0190d0211a991f47bb19a777,3,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,University of Liverpool Repository,publication,collected from a compatible aggregator,opendoar____::459a4ddcb586f24efd9395aa7662bc7c,3,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,University of Regensburg Publication Server,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::addfa9b7e234254d26e9c7f2af1005cb,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,University of Southern Denmark Research Output,publication,OpenAIRE Basic (DRIVER OA),opendoar____::1aa057313c28fa4a40c5bc084b11d276,5,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Univerzitní repozitář Masarykovy univerzity,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::4ad13f04ef4373992c9d3046200aa350,4,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,UPF Digital Repository,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::a14ac55a4f27472c5d894ec1c3c743d2,13,6,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.028169014084507043
LS01_REF,Utrecht University Repository,publication,collected from a compatible aggregator,opendoar____::38b3eff8baf56627478ec76a704e9b52,9,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,VBN,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",opendoar____::8e2cfdc275761edc592f73a076197c33,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Vilnius University Institutional Repository,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::5b5e6cc50cefa5e9f1f5ca272b136475,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Wageningen Staff Publications,publication,collected from a compatible aggregator,opendoar____::d709f38ef758b5066ef31b18039b8ce5,9,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,Warwick Research Archives Portal Repository,publication,collected from a compatible aggregator,opendoar____::0e9fa1f3e9e66792401a6972d477dcc3,7,5,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.023474178403755867
LS01_REF,Web-based Archive of RIVM Publications,publication,collected from a compatible aggregator,opendoar____::7504adad8bb96320eb3afdd4df6e1f60,3,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,White Rose Research Online,publication,collected from a compatible aggregator,opendoar____::ffd52f3c7e12435a724a8f30fddadd9c,2,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,Zenodo,publication,"OpenAIRE 3.0 (OA, funding)",opendoar____::358aee4cc897452c00244351e4d91f69,6,5,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.023474178403755867
